id,empresa_id,opcion_id,precio_tipo_id,indicador,codigo,descripcion,comentario,transferencia_tipo,moneda_id,organizador_defecto,precio_indicador,interfaz,accion_defecto_envio,estado,fecha_creacion,usuario_creacion,bien_unidad_medida_tipo
7,2,47,1,1,01,"Compra ",NULL,0,2,NULL,2,0,6,1,"2015-08-19 16:58:22",1,1
10,2,50,2,4,7,"Venta cotización ",NULL,0,2,NULL,2,0,6,1,"2015-08-25 16:26:57",1,2
12,2,57,2,4,10,"Venta ",NULL,0,2,NULL,2,0,10,1,"2015-09-08 11:41:50",1,2
40,2,123,2,1,03,"Nota de crédito ",NULL,0,2,NULL,2,0,6,1,"2015-12-07 16:14:36",1,3
68,2,160,1,4,12,"Compra cotización ",NULL,0,2,NULL,2,0,6,1,"2015-12-10 15:25:17",1,1
82,2,199,2,2,8,Salidas,NULL,0,2,64,2,0,6,1,"2016-01-05 16:53:56",1,3
86,2,203,1,4,16,"C. Orden compra ",NULL,0,2,NULL,2,0,6,1,"2016-01-11 12:19:59",1,1
100,2,226,1,1,9,Entradas,NULL,0,2,64,2,0,6,1,"2016-01-29 10:56:35",1,3
101,2,227,1,4,17,"V. Orden compra ",NULL,0,2,NULL,2,0,6,1,"2016-01-29 12:32:49",1,2
122,2,264,1,4,01,"Compra EXT",NULL,0,2,NULL,2,0,6,1,"2016-05-13 17:34:20",1,1
123,2,265,1,4,12,"Compra cotización EXT",NULL,0,2,NULL,2,0,6,1,"2016-05-13 17:34:20",1,3
124,2,266,1,4,16,"C. Orden compra EXT",NULL,0,2,NULL,2,0,6,1,"2016-05-13 17:34:20",1,3
125,2,267,1,4,12,"Solicitud de compra EXT",NULL,0,2,NULL,2,1,6,1,"2016-05-13 17:34:20",1,3
126,2,276,1,4,11,"Solicitud de compra interna EXT",NULL,0,2,NULL,2,0,6,1,"2016-06-17 11:09:04",1,3
127,2,282,1,1,00,"Carga inicial",NULL,0,2,NULL,2,0,6,1,"2016-07-11 10:21:11",1,3
129,2,286,1,4,PF,"Producto fabricado",NULL,0,2,NULL,2,0,6,1,"2016-08-03 16:58:22",1,3
130,3,291,1,1,01,"Compra ",NULL,0,2,NULL,2,0,6,1,"2016-11-07 11:27:03",1,3
131,3,292,1,4,12,"Compra cotización ",NULL,0,2,NULL,2,0,6,1,"2016-11-07 11:27:03",1,3
132,3,293,1,4,16,"C. Orden compra ",NULL,0,2,NULL,2,0,6,1,"2016-11-07 11:27:03",1,3
134,3,296,2,4,7,"Venta cotización ",NULL,0,2,NULL,2,0,6,1,"2016-11-07 11:27:05",1,3
135,3,297,2,4,10,"Venta ",NULL,0,2,NULL,2,0,10,1,"2016-11-07 11:27:05",1,3
136,3,298,1,4,17,"V. Orden compra ",NULL,0,2,NULL,2,0,6,1,"2016-11-07 11:27:05",1,3
137,3,300,2,2,8,Salidas,NULL,0,2,69,2,0,6,1,"2016-11-07 11:27:05",1,3
138,3,301,1,1,9,Entradas,NULL,0,2,69,2,0,6,1,"2016-11-07 11:27:05",1,3
139,3,302,1,1,00,"Carga inicial",NULL,0,2,NULL,2,0,6,1,"2016-11-07 11:27:06",1,3
141,4,307,1,1,01,"Compra ",NULL,0,2,NULL,2,0,6,1,"2016-11-07 11:27:18",1,3
142,4,308,1,4,12,"Compra cotización ",NULL,0,2,NULL,2,0,6,1,"2016-11-07 11:27:18",1,3
143,4,309,1,4,16,"C. Orden compra ",NULL,0,2,NULL,2,0,6,1,"2016-11-07 11:27:19",1,3
148,4,316,2,2,8,Salidas,NULL,0,2,60,2,0,6,1,"2016-11-07 11:27:19",1,3
149,4,317,1,1,9,Entradas,NULL,0,2,60,2,0,6,1,"2016-11-07 11:27:20",1,3
150,4,318,1,1,00,"Carga inicial",NULL,0,2,NULL,2,0,6,1,"2016-11-07 11:27:20",1,3
152,2,322,2,2,10,Venta/Salida,NULL,0,2,NULL,2,0,10,1,"2016-11-07 11:27:19",1,3
153,3,323,2,2,10,Venta/Salida,NULL,0,2,NULL,2,0,10,1,"2016-11-07 11:27:19",1,3
155,2,328,2,2,18,Cortesía,NULL,0,2,NULL,2,0,6,1,"2017-01-18 15:28:14",1,3
156,2,330,2,4,21,"Pedido personalizado Mall",NULL,0,2,NULL,2,0,6,1,"2017-01-18 20:20:35",1,3
157,2,333,2,2,20,Transferencia,NULL,1,2,NULL,2,0,6,1,"2017-02-24 10:02:20",1,3
158,2,334,1,1,19,Recepción,NULL,2,2,NULL,2,0,6,1,"2017-02-24 10:53:00",1,3
159,3,335,2,4,21,"Pedido personalizado Larco",NULL,0,2,NULL,2,0,6,1,"2017-03-08 15:45:16",1,3
160,3,336,2,2,18,Cortesía,NULL,0,2,NULL,2,0,6,1,"2017-03-09 09:09:09",1,3
161,4,337,2,2,18,Cortesía,NULL,0,2,NULL,2,0,6,1,"2017-03-09 09:09:22",1,3
162,3,338,2,2,20,Transferencia,NULL,1,2,NULL,2,0,6,1,"2017-03-09 09:54:02",1,3
163,4,339,2,2,20,Transferencia,NULL,1,2,NULL,2,0,6,1,"2017-03-09 09:54:39",1,3
164,3,340,1,1,19,Recepción,NULL,2,2,NULL,2,0,6,1,"2017-03-09 10:21:28",1,3
165,4,341,1,1,19,Recepción,NULL,2,2,NULL,2,0,6,1,"2017-03-09 10:21:37",1,3
166,2,346,1,1,9,"Ingreso sistema Z. Mall",NULL,0,2,64,2,0,6,1,"2016-01-29 10:56:35",1,3
167,2,347,2,2,9,"Salida sistema Z. Mall",NULL,0,2,64,2,0,6,1,"2016-01-29 10:56:35",1,3
168,3,348,1,1,9,"Ingreso sistema Z. Larco",NULL,0,2,69,2,0,6,1,"2016-01-29 10:56:35",1,3
169,3,349,2,2,9,"Salida sistema Z. Larco",NULL,0,2,69,2,0,6,1,"2016-01-29 10:56:35",1,3
170,2,350,2,4,,"Descargo de pedido Mall",NULL,0,2,NULL,2,0,6,1,"2017-01-18 20:20:35",1,3
171,3,351,2,4,,"Descargo de pedido Larco",NULL,0,2,NULL,2,0,6,1,"2017-01-18 20:20:35",1,3
173,2,355,2,4,7,"Pedidos a taller Mall",NULL,0,2,NULL,2,0,6,1,"2017-01-18 20:20:35",1,3
174,3,357,2,4,7,"Pedidos a taller Larco",NULL,0,2,NULL,2,0,6,1,"2017-03-08 15:45:16",1,3
175,5,361,1,4,12,"Compra cotización ",NULL,0,2,NULL,2,0,6,1,"2017-11-07 10:27:29",1,1
176,5,362,1,4,16,"C. Orden compra ",NULL,0,2,NULL,2,0,6,1,"2017-11-07 10:57:28",1,1
177,5,360,1,1,01,"Compra ",NULL,0,2,NULL,2,0,6,1,"2017-11-07 11:06:41",1,1
178,5,364,2,4,7,"Venta cotización ",NULL,0,2,NULL,2,0,6,1,"2017-11-07 12:40:50",1,2
179,5,366,1,4,17,"V. Orden compra ",NULL,0,2,NULL,2,0,6,1,"2017-11-07 12:52:16",1,2
180,5,365,2,4,10,"Venta ",NULL,0,2,NULL,2,0,10,1,"2017-11-07 12:55:30",1,2
181,5,377,2,2,10,Venta/Salida,NULL,0,2,NULL,2,0,10,1,"2017-11-07 15:21:21",1,3
182,5,378,2,4,21,"Pedido personalizado Golf",NULL,0,2,NULL,2,0,6,1,"2017-11-07 15:29:07",1,3
183,5,379,2,4,,"Descargo de pedido Mall",NULL,0,2,NULL,2,0,6,1,"2017-11-07 16:03:36",1,3
184,5,381,2,4,7,"Pedidos a taller Golf",NULL,0,2,NULL,2,0,6,1,"2017-11-07 16:12:17",1,3
185,5,370,1,1,00,"Carga inicial",NULL,0,2,NULL,2,0,6,1,"2017-11-07 16:37:06",1,3
186,5,374,1,1,9,"Ingreso sistema Z. Mall",NULL,0,2,71,2,0,6,1,"2017-11-07 16:39:02",1,3
187,5,375,2,2,9,"Salida sistema Z. Mall",NULL,0,2,71,2,0,6,1,"2017-11-07 16:41:04",1,3
188,5,368,2,2,8,Salidas,NULL,0,2,71,2,0,6,1,"2017-11-07 16:47:54",1,3
189,5,369,1,1,9,Entradas,NULL,0,2,71,2,0,6,1,"2017-11-07 16:53:04",1,3
190,5,371,2,2,18,Cortesía,NULL,0,2,NULL,2,0,6,1,"2017-11-07 17:00:02",1,3
191,5,372,2,2,20,Transferencia,NULL,1,2,NULL,2,0,6,1,"2017-11-07 17:02:29",1,3
192,5,373,1,1,19,Recepción,NULL,2,2,NULL,2,0,6,1,"2017-11-07 17:06:33",1,3
193,4,384,1,1,22,Producción,NULL,0,2,60,2,0,6,1,"2018-01-09 19:44:34",1,3
